3034006,Beauvais,FR,France,53393,Europe/Paris,"49.43333, 2.08333"
3026204,Châteauroux,FR,France,53301,Europe/Paris,"46.81248, 1.69362"
3025053,Cholet,FR,France,53160,Europe/Paris,"47.05893, -0.87974"
3017253,Fréjus,FR,France,53098,Europe/Paris,"43.43325, 6.73555"
2988621,Pantin,FR,France,52922,Europe/Paris,"48.89437, 2.40935"
6543972,Lyon 06,FR,France,52862,Europe/Paris,"45.76788, 4.85064"
2981280,Saint-Brieuc,FR,France,52774,Europe/Paris,"48.51513, -2.76838"
2993002,Montauban,FR,France,52434,Europe/Paris,"44.01759, 1.3542"
3026613,Charleville-Mézières,FR,France,52415,Europe/Paris,"49.7685, 4.72487"
3038261,Albi,FR,France,52409,Europe/Paris,"43.9298, 2.148"
2973385,Tarbes,FR,France,52106,Europe/Paris,"43.23407, 0.07139"
3017910,Fontenay-sous-Bois,FR,France,52075,Europe/Paris,"48.85442, 2.48268"
6543975,Lyon 09,FR,France,51983,Europe/Paris,"45.77255, 4.80326"
3019256,Évry,FR,France,51900,Europe/Paris,"48.6328, 2.44049"
3024783,Clamart,FR,France,51400,Europe/Paris,"48.80299, 2.26692"
7284890,Marseille 10,FR,France,51299,Europe/Paris,"43.27889, 5.41523"
3027487,Châlons-en-Champagne,FR,France,51257,Europe/Paris,"48.95393, 4.36724"
2990919,Narbonne,FR,France,50776,Europe/Paris,"43.18396, 3.00141"
2978640,Saint-Malo,FR,France,50676,Europe/Paris,"48.64738, -2.00877"
3005866,Laval,FR,France,50489,Europe/Paris,"48.07247, -0.77019"
3012937,Hyères,FR,France,50487,Europe/Paris,"43.12038, 6.12857"
6543971,Lyon 05,FR,France,49664,Europe/Paris,"45.76106, 4.82677"
3028641,Carcassonne,FR,France,49600,Europe/Paris,"43.21649, 2.34863"
3037598,Angoulême,FR,France,49468,Europe/Paris,"45.64997, 0.15345"
3037543,Annecy,FR,France,49232,Europe/Paris,"45.90878, 6.12565"
3031815,Bondy,FR,France,48268,Europe/Paris,"48.9018, 2.48931"
3005269,Le Blanc-Mesnil,FR,France,48077,Europe/Paris,"48.93872, 2.46138"
2968705,Villejuif,FR,France,48048,Europe/Paris,"48.7939, 2.35992"
3014856,Grasse,FR,France,47581,Europe/Paris,"43.65783, 6.92537"
2974681,Sevran,FR,France,47334,Europe/Paris,"48.94472, 2.52746"
3028263,Castres,FR,France,47275,Europe/Paris,"43.60527, 2.24088"
3027484,Chalon-sur-Saône,FR,France,47251,Europe/Paris,"46.78112, 4.85372"
7284885,Marseille 04,FR,France,47193,Europe/Paris,"43.30213, 5.40141"
3036784,Arras,FR,France,47052,Europe/Paris,"50.29301, 2.78186"
3031133,Boulogne-sur-Mer,FR,France,47013,Europe/Paris,"50.72485, 1.61373"
3025622,Chelles,FR,France,46947,Europe/Paris,"48.88109, 2.59295"
3029227,Cagnes-sur-Mer,FR,France,46923,Europe/Paris,"43.66352, 7.1479"
2979590,Saint-Herblain,FR,France,46898,Europe/Paris,"47.21154, -1.651"
3021000,Douai,FR,France,46531,Europe/Paris,"50.37069, 3.07922"
3020020,Épinay-sur-Seine,FR,France,46145,Europe/Paris,"48.9535, 2.31514"
2968054,Vincennes,FR,France,45923,Europe/Paris,"48.8486, 2.43769"
2995387,Martigues,FR,France,45749,Europe/Paris,"43.40735, 5.05526"
7284884,Marseille 03,FR,France,45414,Europe/Paris,"43.30257, 5.37583"
3031009,Bourg-en-Bresse,FR,France,45340,Europe/Paris,"46.20574, 5.2258"
3032179,Bobigny,FR,France,44962,Europe/Paris,"48.90982, 2.45012"
2992292,Montluçon,FR,France,44960,Europe/Paris,"46.34015, 2.60254"
3036433,Aubagne,FR,France,44844,Europe/Paris,"43.29276, 5.57067"
2971041,Valenciennes,FR,France,44821,Europe/Paris,"50.35909, 3.52506"
2973675,Suresnes,FR,France,44697,Europe/Paris,"48.87143, 2.22929"
2994144,Meudon,FR,France,44652,Europe/Paris,"48.81381, 2.235"
7284886,Marseille 05,FR,France,44583,Europe/Paris,"43.29551, 5.40055"
3034475,Bayonne,FR,France,44396,Europe/Paris,"43.49316, -1.473"
3012647,Istres,FR,France,44373,Europe/Paris,"43.51345, 4.98747"
2972811,Thionville,FR,France,44311,Europe/Paris,"49.35994, 6.16044"
2996148,Mantes-la-Jolie,FR,France,44263,Europe/Paris,"48.99048, 1.7167"
3024066,Compiègne,FR,France,44243,Europe/Paris,"49.41794, 2.82606"
2990474,Nevers,FR,France,43988,Europe/Paris,"46.98956, 3.159"
3026467,Chartres,FR,France,43838,Europe/Paris,"48.44685, 1.48925"
7284887,Marseille 06,FR,France,43360,Europe/Paris,"43.28764, 5.37918"
3004871,Le Cannet,FR,France,43353,Europe/Paris,"43.57662, 7.01912"
2967421,Wattrelos,FR,France,42826,Europe/Paris,"50.70118, 3.21812"
3029096,Caluire-et-Cuire,FR,France,42763,Europe/Paris,"45.79462, 4.8464"
3016702,Gap,FR,France,42715,Europe/Paris,"44.55858, 6.07868"
2973495,Talence,FR,France,42579,Europe/Paris,"44.80849, -0.58915"
3038224,Alès,FR,France,42410,Europe/Paris,"44.12489, 4.08082"
3016321,Gennevilliers,FR,France,42294,Europe/Paris,"48.93333, 2.3"
2977356,Saint-Priest,FR,France,41641,Europe/Paris,"45.69651, 4.94385"
2982757,Rosny-sous-Bois,FR,France,41627,Europe/Paris,"48.87017, 2.4991"
3035843,Auxerre,FR,France,41516,Europe/Paris,"47.7996, 3.57033"
2976341,Salon-de-Provence,FR,France,41397,Europe/Paris,"43.64229, 5.09478"
2979783,Saint-Germain-en-Laye,FR,France,41142,Europe/Paris,"48.89643, 2.0904"
3034640,Bastia,FR,France,41001,Europe/Paris,"42.70219, 9.45123"
7284882,Marseille 01,FR,France,40919,Europe/Paris,"43.29814, 5.38407"
2974733,Sète,FR,France,40736,Europe/Paris,"43.4028, 3.69278"
3037612,Anglet,FR,France,40658,Europe/Paris,"43.48921, -1.51921"
2985034,Puteaux,FR,France,40646,Europe/Paris,"48.88341, 2.23894"
3023763,Corbeil-Essonnes,FR,France,40527,Europe/Paris,"48.60603, 2.48757"
3016621,Garges-lès-Gonesse,FR,France,39847,Europe/Paris,"48.96791, 2.39781"
2983362,Roanne,FR,France,39840,Europe/Paris,"46.03624, 4.06802"
2975525,Savigny-sur-Orge,FR,France,39698,Europe/Paris,"48.67677, 2.34835"
3020035,Épinal,FR,France,39518,Europe/Paris,"48.18324, 6.45304"
2998056,Livry-Gargan,FR,France,39518,Europe/Paris,"48.9193, 2.54305"
2977824,Saint-Ouen,FR,France,39353,Europe/Paris,"48.90654, 2.33339"
2983770,Rezé,FR,France,39248,Europe/Paris,"47.19058, -1.56885"
2992415,Montigny-le-Bretonneux,FR,France,39063,Europe/Paris,"48.76636, 2.03405"
2990187,Noisy-le-Sec,FR,France,38955,Europe/Paris,"48.89148, 2.46451"
2994651,Melun,FR,France,38953,Europe/Paris,"48.5457, 2.65356"
3035409,Bagneux,FR,France,38900,Europe/Paris,"48.79565, 2.30796"
2995206,Massy,FR,France,38768,Europe/Paris,"48.72692, 2.28301"
3014078,Haguenau,FR,France,38721,Europe/Paris,"48.81557, 7.79051"
2992017,Montrouge,FR,France,38708,Europe/Paris,"48.8162, 2.31393"
2995908,Marcq-en-Barœul,FR,France,38629,Europe/Paris,"50.66667, 3.08333"
2967870,Vitrolles,FR,France,38591,Europe/Paris,"43.46, 5.24861"
3020850,Draguignan,FR,France,38573,Europe/Paris,"43.53692, 6.46458"
3003093,Lens,FR,France,38265,Europe/Paris,"50.43302, 2.82791"
3016830,Gagny,FR,France,38134,Europe/Paris,"48.88333, 2.53333"
2981206,Saint-Chamond,FR,France,38014,Europe/Paris,"45.4759, 4.51294"
3029931,Bron,FR,France,37825,Europe/Paris,"45.73865, 4.91303"
2970456,Vaulx-en-Velin,FR,France,37489,Europe/Paris,"45.78693, 4.9251"
3012219,Joué-lès-Tours,FR,France,37466,Europe/Paris,"47.34907, 0.66513"
3038213,Alfortville,FR,France,37290,Europe/Paris,"48.80575, 2.4204"
3009824,La Courneuve,FR,France,37287,Europe/Paris,"48.92805, 2.39627"
